Village,Household ID,Day,3:00 AM,3:30 AM,4:00 AM,4:30 AM,5:00 AM,5:30 AM,6:00 AM,6:30 AM,7:00 AM,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM,1:00 AM,1:30 AM,2:00 AM,2:30 AM
,,,,,,,,,,,Feeding animals,Ironing,Getting dressed,Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolomotu'a,47,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Breakfast,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Cooking,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Dinner,"TV (TV, movies)",Homework (kids),"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Ironing,,Driving (work),,,,,,,,,,,,,,,,,,,,,,,,"Mobile devises (browsing, social media)",,,,,,,,,,,,,
Kolomotu'a,49,Friday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Mobile device (movies),Mobile device (movies),Showering,Driving (gym),Driving (gym),Driving (gym),Driving (gym),Home,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,,Listen to music/radio,Getting dressed,Work,,,,,,,,,,,,,,,,Home,,,,,,,,Showering,,,,,,,,,,,
Sopu,82,Friday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Breakfast,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Sleeping,Sleeping,Sleeping,Sleeping
,,,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Turning off appliances/Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices
Fasi,9,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Feeding animals,Showering,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Family devotion,"Family time (chatting, games etc)","Family time (chatting, games etc)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,Family devotion,Breakfast,,,,,,,,,,,,,,,,,,Cooking,,,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",,,,,,,,,,,,,
Kolomotu'a,50,Wednesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Home,Rest,Rest,Rest,Cooking,Tidy up,"Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,Listen to music/radio,Listen to music/radio,,,,,,,,,,,,,,,,,,,,,,Dinner,Listen to music/radio,,,Showering,,,,,,,,,,,
Kolomotu'a,51,Friday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Family devotion,Ironing,Ironing,Ironing,Ironing,Breakfast,Laundry,Driving (farm),Driving (farm),Driving (farm),Home,Tidy up,Tidy up,Tidy up,Tidy up,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,"Mobile devises (browsing, social media)",Dinner,Dinner,"Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)","Family time (chatting, games etc)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,Turning off appliances/Lights,,Cooking,Cooking,Cooking,Cooking,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",,,,,,,,,,,,,,,,,,,,,,,,,
Kolomotu'a,52,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Ironing,Getting dressed,Getting dressed (kids),Driving (drop kids),Driving (drop kids),Breakfast,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (pick up kids),Driving (pick up kids),Driving (pick up kids),Driving (pick up kids),Home,Feeding animals,Feeding animals,Cooking,Cooking,Dinner,Dinner,Driving (pick up kids),Driving (pick up kids),Church (choir practice),Church (choir practice),Home,Showering,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Getting dressed (kids),,,,Getting dressed,Work,,,,,,,,,,,,,,Rest,,,,,,,,,,,Light meal/snack,,,,,,,,,
Longolongo,63,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Driving (home),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Feeding animals,"Exercise (Jog, walk)","Exercise (Jog, walk)",Showering,Dinner,Dinner,Mobile device (movies),"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Family devotion,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,"Mobile devises (browsing, social media)",Getting dressed,,,,,,,,,,,,,,,,,,,Listen to music/radio,Listen to music/radio,Listen to music/radio,Listen to music/radio,,,,,,,,,,,,,,,,
Havelu,34,Tuesday,Mobile devices (work),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Driving (drop kids),"Exercise (Jog, walk)",Showering,Driving (home),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Rest,Rest,Dinner,Dinner,"Exercise (Jog, Walk)",Mobile devices (work),Mobile device (movies),Mobile device (movies),Mobile device (movies),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Listen to music/radio,,,Getting dressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havelu,38,Wednesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Ironing,Showering,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Gardening,Gardening,Cooking,Cooking,Dinner,Dinner,Tidy up,Tidy up,Homework (kids),Homework (kids),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,Listen to music/radio,Listen to music/radio,Work,,,,,,,,,,,,,,,,,,Home,Listen to music/radio,Listen to music/radio,Listen to music/radio,Listen to music/radio,"TV (TV, movies)","TV (TV, movies)",Listen to music/radio,Listen to music/radio,Mobile devices (work),"Mobile devises (browsing, social media)",,,,,,,,
Lakepa,54,Thursday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Listen to music/radio,Listen to music/radio,Listen to music/radio,Listen to music/radio,Listen to music/radio,Listen to music/radio,Listen to music/radio,Listen to music/radio,Listen to music/radio,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,Getting dressed,,,,,,,,,,,,,,,,,,,,,,Rest,Cooking,Cooking,Dinner,Dinner,Tidy up,Tidy up,,,,,,,,,,
Havelu,39,Friday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Getting dressed,Getting dressed,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Tidy up,Tidy up,Tidy up,Driving (gym),Driving (gym),Driving (gym),Driving (gym),Driving (gym),Showering,Mobile device (movies),Mobile device (movies),Mobile device (movies),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidy up,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",,,,,,,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",,,,,,,
Kolomotu'a,48,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Driving (home),Dinner,Dinner,Dinner,Dinner,Dinner,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,Showering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolomotu'a,46,Friday,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Family devotion,Family devotion,Ironing,Showering,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Tidy up,Tidy up,Tidy up,Cooking,Dinner,Dinner,Mobile device (movies),Mobile device (movies),Mobile device (movies),Mobile device (movies),Mobile device (movies),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Getting dressed,,,,,,,,,,,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,
Te'ekiu,84,Friday,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Driving (church),Driving (church),Home,Breakfast,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Home,Feeding animals,Driving (farm),Home,Driving (Kava),Driving (Kava),Driving (Kava),Driving (Kava),Driving (Kava),Driving (Kava),Driving (Kava),Dinner,Mobile devices (work),Mobile devices (work),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakepa,53,Friday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Dinner,Dinner,Dinner,Rest,Rest,Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Mobile devices (work),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Showering,Listen to music/radio,Listen to music/radio,Work,,,,,,,,,,,,,,,,,Home,Listen to music/radio,Listen to music/radio,Listen to music/radio,,,,,,,,,,,,,,,,
Lapaha,55,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Ironing,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Dinner,Dinner,Mobile devices (work),Light meal/snack,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,,,,Charging mobile devices,Breakfast,,Work,,,,,,,,,,,,,Charging mobile devices,,,,,,,,,,,,,,,,,,,
Liahona,57,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Cooking,Showering,Ironing,Walking (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,"TV (TV, movies)",Driving (pick up kids),Driving (pick up kids),Tidy up,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Dinner,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Homework (kids),Homework (kids),Mobile devices (work),Mobile devices (work),Mobile devices (work),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,Cooking,,Breakfast,,Work,,,,,,,,,,,,,,,,,Home,Cooking,,,,,,,,,,,,,,,,,,,
Liahona,60,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Ironing,Tidy up,Getting dressed (kids),Breakfast,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (pick up kids),Driving (pick up kids),Driving (home),Home,Tidy up,Church (social activities),Church (social activities),Homework (kids),Homework (kids),Dinner,Dinner,"TV (TV, movies)","Mobile devises (browsing, social media)",Kids bedtime,Kids bedtime,Kids bedtime,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,Cooking,,,Getting dressed,,,,,,,,,,,,,,,,,,,Cooking,,,,,,,,,,,,,,,,,,,,
Liahona,59,Wednesday,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,"Exercise (Jog, walk)",Cooking,Cooking,Showering,Breakfast,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,"Exercise (Jog, walk)","Exercise (Jog, walk)",Driving (home),Cooking,Cooking,Dinner,Tidy up,Showering,Mobile devices (work),Mobile devices (work),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,Cooking (lunch),Cooking (lunch),,Driving (work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liahona,62,Thursday,Sleeping,Sleeping,Woke up,Scripture study,Mobile devices (work),"Exercise (Jog, walk)","Exercise (Jog, walk)","Exercise (Jog, walk)",Showering,Getting dressed,Walking (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,School,School,School,School,School,Home,Rest,Showering,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Breakfast,,Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liahona,61,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Cooking,Cooking,Cooking,Breakfast,Walking (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (pick up kids),Driving (pick up kids),Cooking,Cooking,Dinner,Homework (kids),Homework (kids),Homework (kids),Homework (kids),Homework (kids),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,Cooking,Cooking,Cooking,"TV (TV, movies)",Work,,,,,,,,,,,,,,,,,,,,,"TV (TV, movies)",,,,,,,,,,,,,,,,
Vaini,94,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Cooking,Turning off appliances/Lights,Showering,Driving (drop kids),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (pick up kids),Driving (home),Home,Laundry,Charging mobile devices,Prepare kids bag for school,Turning off appliances/Lights,Ironning,Cooking (baby),Kids bedtime,Showering,Use mobile devices,Use mobile devices,Use mobile devices,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,Cooking,,,Getting dressed,Driving (work),,,,,,,,,,,,,,,,,,,Short rest,,,Tidy up,,,,,,,,,,,,,,,
Lapaha,56,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (pick up kids),Driving (church),Driving (church),Driving (church),Driving (church),Home,Cooking,Dinner,Dinner,"Mobile devises (browsing, social media)",Showering,Homework (kids),Homework (kids),Homework (kids),Homework (kids),Homework (kids),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Showering,Breakfast,,,,,,,,,,,,,,,,,,,,,,Cooking,"Mobile devises (browsing, social media)",,,,,,,,,,,,,,,
Navutoka,71,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Driving (work),Driving (drop relatives),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Driving (home),Home,Rest,Dinner,Dinner,Showering,Showering,Listen to music/radio,Listen to music/radio,Mobile device (movies),Mobile device (movies),Mobile device (movies),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,Showering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matahau,69,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Church (social activities),Church (social activities),Church (social activities),Church (social activities),Church (social activities),Home,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Showering,,,Work,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile devises (browsing, social media)",,,,,,,,,,
Ngele'ia,72,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed (kids),Getting dressed (kids),Getting dressed (kids),Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Driving (home),Driving (home),Cooking,Cooking,Dinner,Homework (kids),Homework (kids),Homework (kids),Showering,Showering,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,Getting dressed (kids),Getting dressed,Getting dressed,Getting dressed,,,,,,,,,,,,,,,,,,,,Home,,,,,,,,,,,,,,,,,
